分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
赛特重装部队,[银白] 赛特重装部队,6270,588,588,,,,,,,,,,,,,,,,,,,赛特重装部队碎片,10,100.00%
赛特重装部队,[翠绿] 赛特重装部队,33600,888,888,,,,,,,,,,,,,,,,,,,[银白] 赛特重装部队,4,100.00%
赛特重装部队,[湛蓝] 赛特重装部队,168000,1488,1488,,,,,,,,,,,,,,,,,,,[翠绿] 赛特重装部队,3,100.00%
子母寄生体,[银白] 子母寄生体,6270,588,588,,,,,,,,,,,,,,,,,,,子母寄生体碎片,10,100.00%
子母寄生体,[翠绿] 子母寄生体,33600,888,888,,,,,,,,,,,,,,,,,,,[银白] 子母寄生体,4,100.00%
子母寄生体,[湛蓝] 子母寄生体,168000,1488,1488,,,,,,,,,,,,,,,,,,,[翠绿] 子母寄生体,3,100.00%
自爆圣甲虫,[银白] 自爆圣甲虫,300,188,188,,,,,,,,,,,,,,,,,,,自爆圣甲虫碎片,20,100.00%
自爆圣甲虫,[翠绿] 自爆圣甲虫,1500,288,288,,,,,,,,,,,,,,,,,,,[银白] 自爆圣甲虫,5,100.00%
自爆圣甲虫,[湛蓝] 自爆圣甲虫,7500,388,388,,,,,,,,,,,,,,,,,,,[翠绿] 自爆圣甲虫,4,100.00%
沙蛇狙击手,[银白] 沙蛇狙击手,2580,288,288,,,,,,,,,,,,,,,,,,,沙蛇狙击手碎片,16,100.00%
沙蛇狙击手,[翠绿] 沙蛇狙击手,12900,388,388,,,,,,,,,,,,,,,,,,,[银白] 沙蛇狙击手,5,100.00%
沙蛇狙击手,[湛蓝] 沙蛇狙击手,64500,488,488,,,,,,,,,,,,,,,,,,,[翠绿] 沙蛇狙击手,3,100.00%
实验体X,[银白] 实验体X,2580,288,288,,,,,,,,,,,,,,,,,,,实验体X碎片,16,100.00%
实验体X,[翠绿] 实验体X,12900,388,388,,,,,,,,,,,,,,,,,,,[银白] 实验体X,5,100.00%
实验体X,[湛蓝] 实验体X,64500,488,488,,,,,,,,,,,,,,,,,,,[翠绿] 实验体X,3,100.00%
