分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
专家凭证,8-1专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,北域雪国凭证碎片,12,100.00%
专家凭证,8-2专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,北域雪国凭证碎片,12,100.00%
专家凭证,8-3专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,北域雪国凭证碎片,12,100.00%
专家凭证,8-4专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,北域雪国凭证碎片,12,100.00%
专家凭证,8-5专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,北域雪国凭证碎片,12,100.00%
专家凭证,8-6专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,北域雪国凭证碎片,12,100.00%
专家凭证,8-7专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,北域雪国凭证碎片,12,100.00%
猎手凭证,8-1猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,北域雪国凭证碎片,150,100.00%
猎手凭证,8-2猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,北域雪国凭证碎片,150,100.00%
猎手凭证,8-3猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,北域雪国凭证碎片,150,100.00%
猎手凭证,8-4猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,北域雪国凭证碎片,150,100.00%
猎手凭证,8-5猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,北域雪国凭证碎片,150,100.00%
猎手凭证,8-6猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,北域雪国凭证碎片,150,100.00%
猎手凭证,8-7猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,北域雪国凭证碎片,150,100.00%
战神凭证,8-1战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,北域雪国凭证碎片,1200,100.00%
战神凭证,8-2战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,北域雪国凭证碎片,1200,100.00%
战神凭证,8-3战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,北域雪国凭证碎片,1200,100.00%
战神凭证,8-4战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,北域雪国凭证碎片,1200,100.00%
战神凭证,8-5战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,北域雪国凭证碎片,1200,100.00%
战神凭证,8-6战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,北域雪国凭证碎片,1200,100.00%
战神凭证,8-7战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,北域雪国凭证碎片,1200,100.00%
传说凭证,8-1传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,北域雪国凭证碎片,6000,100.00%
传说凭证,8-2传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,北域雪国凭证碎片,6000,100.00%
传说凭证,8-3传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,北域雪国凭证碎片,6000,100.00%
传说凭证,8-4传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,北域雪国凭证碎片,6000,100.00%
传说凭证,8-5传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,北域雪国凭证碎片,6000,100.00%
传说凭证,8-6传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,北域雪国凭证碎片,6000,100.00%
传说凭证,8-7传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,北域雪国凭证碎片,6000,100.00%
