分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
专家凭证,2-1专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-2专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-3专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-4专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-5专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-6专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-7专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-8专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-9专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-10专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-A专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-S1专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-S2专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
专家凭证,2-J专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,城市突袭凭证碎片,10,100.00%
猎手凭证,2-1猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-1专家凭证,5,100.00%
猎手凭证,2-2猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-2专家凭证,5,100.00%
猎手凭证,2-3猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-3专家凭证,5,100.00%
猎手凭证,2-4猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-4专家凭证,5,100.00%
猎手凭证,2-5猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-5专家凭证,5,100.00%
猎手凭证,2-6猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-6专家凭证,5,100.00%
猎手凭证,2-7猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-7专家凭证,5,100.00%
猎手凭证,2-8猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-8专家凭证,5,100.00%
猎手凭证,2-9猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-9专家凭证,5,100.00%
猎手凭证,2-10猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-10专家凭证,5,100.00%
猎手凭证,2-A猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-A专家凭证,5,100.00%
猎手凭证,2-S1猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-S1专家凭证,5,100.00%
猎手凭证,2-S2猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-S2专家凭证,5,100.00%
猎手凭证,2-J猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,2-J专家凭证,5,100.00%
战神凭证,2-1战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-1猎手凭证,12,100.00%
战神凭证,2-2战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-2猎手凭证,12,100.00%
战神凭证,2-3战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-3猎手凭证,12,100.00%
战神凭证,2-4战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-4猎手凭证,12,100.00%
战神凭证,2-5战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-5猎手凭证,12,100.00%
战神凭证,2-6战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-6猎手凭证,12,100.00%
战神凭证,2-7战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-7猎手凭证,12,100.00%
战神凭证,2-8战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-8猎手凭证,12,100.00%
战神凭证,2-9战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-9猎手凭证,12,100.00%
战神凭证,2-10战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-10猎手凭证,12,100.00%
战神凭证,2-A战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-A猎手凭证,12,100.00%
战神凭证,2-S1战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-S1猎手凭证,12,100.00%
战神凭证,2-S2战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-S2猎手凭证,12,100.00%
战神凭证,2-J战神凭证,15000,500,500,30,30,30,20,,,4,4,1,,,,,,,,,,2-J猎手凭证,12,100.00%
传说凭证,2-1传说凭证,45000,3000,3000,120,120,60,40,,10,3,,2,,,,,,,,,,2-1战神凭证,12,100.00%
传说凭证,2-2传说凭证,45000,3000,3000,120,120,60,40,,10,3,,2,,,,,,,,,,2-2战神凭证,12,100.00%
