分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
传说之证,传说之证-比伯,20,150,,30,25,,,,,,,,,,,,,,,,,,,
传说之证,传说之证-鬼雾,30,180,100,,,,50,,,,,,,,,,,,,,,,,
传说之证,传说之证-赤魔,50,,,50,35,75,75,,,,,,,,,,,,,,,,,
传说之证,传说之证-瑞秋,100,300,223,,,,,,,,,,,,,,,,,,,,,
传说之证,传说之证-朱丽叶,200,215,215,100,100,,,,,,,,,,,,,,,,,,,
传说之证,传说之证-希雅,300,,485,,,375,320,,,,,,,,,,,,,,,,,
传说之证,传说之证-圣殿骑士,500,1500,,,,380,350,,,,,,,,,,,,,,,,,
传说之证,传说之证-ZERO,800,1888,,,,423,395,,,,,,,,,,,,,,,,,
传说之证,传说之证-龙鹰,1500,,,,,580,425,,,,,,1,,,,,,,,,,,
传说之证,传说之证-潘多拉,3000,1250,1250,105,105,600,525,,,,,,,,,,,,,,,,,
传说之证,传说之证-死神之光,10,75,75,,,,,,,,,,,,,,,,,,,,,
传说之证,传说之证-深渊之刃,20,150,,30,25,,,,,,,,,,,,,,,,,,,
传说之证,传说之证-孤电离子,30,180,100,,,,50,,,,,,,,,,,,,,,,,
传说之证,传说之证-崋集,50,50,35,,,75,75,,,,,,,,,,,,,,,,,
传说之证,传说之证-AK天神,100,300,223,,,,,,,,,,,,,,,,,,,,,
传说之证,传说之证-RPK天神,200,200,200,100,100,,,,,,,,,,,,,,,,,,,
传说之证,传说之证-血魔,300,,450,,,380,300,,,,,,,,,,,,,,,,,
传说之证,传说之证-M4A1无限,500,1000,,,,380,350,,,,,,1,,,,,,,,,,,
传说之证,传说之证-万化无限,800,,,,,423,395,,,,,,,20,20,,,,,,,,,
