分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
专家凭证,5-1专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-2专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-3专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-4专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-5专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-6专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-7专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-8专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-9专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-10专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-A专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-S1专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-S2专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-J1专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
专家凭证,5-J2专家凭证,500,75,75,,,,,,15,5,,,,,,,,,,,,地狱之城凭证碎片,10,100.00%
猎手凭证,5-1猎手凭证,2500,150,150,15,15,,,15,,,5,,,,,,,,,,,5-1专家凭证,5,100.00%
猎手凭证,5-2猎手凭证,2500,150,150,15,15,,,15,,,5,,,,,,,,,,,5-2专家凭证,5,100.00%
猎手凭证,5-3猎手凭证,2500,150,150,15,15,,,15,,,5,,,,,,,,,,,5-3专家凭证,5,100.00%
猎手凭证,5-4猎手凭证,2500,150,150,15,15,,,15,,,5,,,,,,,,,,,5-4专家凭证,5,100.00%
猎手凭证,5-5猎手凭证,2500,150,150,15,15,,,15,,,5,,,,,,,,,,,5-5专家凭证,5,100.00%
猎手凭证,5-6猎手凭证,2500,150,150,15,15,,,15,,,5,,,,,,,,,,,5-6专家凭证,5,100.00%
猎手凭证,5-7猎手凭证,2500,150,150,15,15,,,15,,,5,,,,,,,,,,,5-7专家凭证,5,100.00%
