分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
专家凭证,1-1专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-2专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-3专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-4专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-5专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-6专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-7专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-8专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-9专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-10专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-A专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-S1专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-S2专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
专家凭证,1-J专家凭证,250,50,50,,,,,,5,1,,,,,,,,,,,,工业区凭证碎片,10,100.00%
猎手凭证,1-1猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,1-1专家凭证,5,100.00%
猎手凭证,1-2猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,1-2专家凭证,5,100.00%
猎手凭证,1-3猎手凭证,1250,100,100,10,10,,,5,,,1,,,,,,,,,,,1-3专家凭证,5,100.00%
