分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
专家凭证,6-1专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-2专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-3专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-4专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-5专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-6专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-7专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-8专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-9专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-10专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-A专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-S1专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-S2专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
专家凭证,6-J专家凭证,1000,500,500,,,,,,30,10,,,,,,,,,,,,海岛魅影凭证碎片,10,100.00%
猎手凭证,6-1猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-1专家凭证,5,100.00%
猎手凭证,6-2猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-2专家凭证,5,100.00%
猎手凭证,6-3猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-3专家凭证,5,100.00%
猎手凭证,6-4猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-4专家凭证,5,100.00%
猎手凭证,6-5猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-5专家凭证,5,100.00%
猎手凭证,6-6猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-6专家凭证,5,100.00%
猎手凭证,6-7猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-7专家凭证,5,100.00%
猎手凭证,6-8猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-8专家凭证,5,100.00%
猎手凭证,6-9猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-9专家凭证,5,100.00%
猎手凭证,6-10猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-10专家凭证,5,100.00%
猎手凭证,6-A猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-A专家凭证,5,100.00%
猎手凭证,6-S1猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-S1专家凭证,5,100.00%
猎手凭证,6-S2猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-S2专家凭证,5,100.00%
猎手凭证,6-J猎手凭证,5000,1000,1000,50,50,,,30,,,10,,,,,,,,,,,6-J专家凭证,5,100.00%
战神凭证,6-1战神凭证,60000,5000,5000,150,150,100,100,,,20,20,5,,,,,,,,,,6-1猎手凭证,12,100.00%
