分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
专家凭证,3-1专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-2专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-3专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-4专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-5专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-6专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-7专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-8专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-9专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-10专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-A专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-S1专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-S2专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
专家凭证,3-J专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,玛雅迷踪凭证碎片,10,100.00%
猎手凭证,3-1猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-1专家凭证,5,100.00%
猎手凭证,3-2猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-2专家凭证,5,100.00%
猎手凭证,3-3猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-3专家凭证,5,100.00%
猎手凭证,3-4猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-4专家凭证,5,100.00%
猎手凭证,3-5猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-5专家凭证,5,100.00%
猎手凭证,3-6猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-6专家凭证,5,100.00%
猎手凭证,3-7猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-7专家凭证,5,100.00%
猎手凭证,3-8猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-8专家凭证,5,100.00%
猎手凭证,3-9猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-9专家凭证,5,100.00%
猎手凭证,3-10猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-10专家凭证,5,100.00%
猎手凭证,3-A猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-A专家凭证,5,100.00%
猎手凭证,3-S1猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-S1专家凭证,5,100.00%
猎手凭证,3-S2猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-S2专家凭证,5,100.00%
猎手凭证,3-J猎手凭证,2000,150,150,15,15,,,10,,3,,,,,,,,,,,,3-J专家凭证,5,100.00%
战神凭证,3-1战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-1猎手凭证,12,100.00%
战神凭证,3-2战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-2猎手凭证,12,100.00%
战神凭证,3-3战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-3猎手凭证,12,100.00%
战神凭证,3-4战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-4猎手凭证,12,100.00%
战神凭证,3-5战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-5猎手凭证,12,100.00%
战神凭证,3-6战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-6猎手凭证,12,100.00%
战神凭证,3-7战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-7猎手凭证,12,100.00%
战神凭证,3-8战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-8猎手凭证,12,100.00%
战神凭证,3-9战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-9猎手凭证,12,100.00%
战神凭证,3-10战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-10猎手凭证,12,100.00%
战神凭证,3-A战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-A猎手凭证,12,100.00%
战神凭证,3-S1战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-S1猎手凭证,12,100.00%
战神凭证,3-S2战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-S2猎手凭证,12,100.00%
战神凭证,3-J战神凭证,15000,750,750,45,45,50,30,,,7,7,2,,,,,,,,,,3-J猎手凭证,12,100.00%
传说凭证,3-1传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-1战神凭证,12,100.00%
传说凭证,3-2传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-2战神凭证,12,100.00%
传说凭证,3-3传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-3战神凭证,12,100.00%
传说凭证,3-4传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-4战神凭证,12,100.00%
传说凭证,3-5传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-5战神凭证,12,100.00%
传说凭证,3-6传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-6战神凭证,12,100.00%
传说凭证,3-7传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-7战神凭证,12,100.00%
传说凭证,3-8传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-8战神凭证,12,100.00%
传说凭证,3-9传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-9战神凭证,12,100.00%
传说凭证,3-10传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-10战神凭证,12,100.00%
传说凭证,3-A传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-A战神凭证,12,100.00%
传说凭证,3-S1传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-S1战神凭证,12,100.00%
传说凭证,3-S2传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-S2战神凭证,12,100.00%
传说凭证,3-J传说凭证,72000,4500,4500,180,180,100,60,,20,9,,3,,,,,,,,,,3-J战神凭证,12,100.00%
至尊凭证,3-1至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-2至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-3至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-4至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-5至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-6至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-7至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-8至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-9至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-10至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-A至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-S1至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-S2至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
至尊凭证,3-J至尊凭证,180000,24000,24000,600,600,360,360,60,60,60,60,1,,,1,,,,,,,玛雅迷踪凭证碎片,14400,100.00%
