分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
专家凭证,7-1专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
专家凭证,7-2专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
专家凭证,7-3专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
专家凭证,7-4专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
专家凭证,7-5专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
专家凭证,7-6专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
专家凭证,7-7专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
专家凭证,7-8专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
专家凭证,7-9专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
专家凭证,7-10专家凭证,1000,750,750,,,,,,45,15,,,,,,,,,,,,霓幻城寨凭证碎片,15,100.00%
猎手凭证,7-1猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
猎手凭证,7-2猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
猎手凭证,7-3猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
猎手凭证,7-4猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
猎手凭证,7-5猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
猎手凭证,7-6猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
猎手凭证,7-7猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
猎手凭证,7-8猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
猎手凭证,7-9猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
猎手凭证,7-10猎手凭证,5000,1500,1500,75,75,,,45,,,15,,,,,,,,,,,霓幻城寨凭证碎片,180,100.00%
战神凭证,7-1战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
战神凭证,7-2战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
战神凭证,7-3战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
战神凭证,7-4战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
战神凭证,7-5战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
战神凭证,7-6战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
战神凭证,7-7战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
战神凭证,7-8战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
战神凭证,7-9战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
战神凭证,7-10战神凭证,60000,7500,7500,225,225,150,150,,,30,30,,,,,,,,,,,霓幻城寨凭证碎片,1440,100.00%
传说凭证,7-1传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
传说凭证,7-2传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
传说凭证,7-3传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
传说凭证,7-4传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
传说凭证,7-5传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
传说凭证,7-6传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
传说凭证,7-7传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
传说凭证,7-8传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
传说凭证,7-9传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
传说凭证,7-10传说凭证,180000,22500,22500,450,450,300,300,,75,30,,,,,,,,,,,,霓幻城寨凭证碎片,7200,100.00%
