分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
米诺陶诺斯之角,[银白] 米诺陶诺斯之角,150,88,88,,,,,,,,,,,,,,,,,,,,,
米诺陶诺斯之角,[翠绿] 米诺陶诺斯之角,750,188,188,,,,,,,,,,,,,,,,,,,[银白] 米诺陶诺斯之角,5,100.00%
米诺陶诺斯之角,[湛蓝] 米诺陶诺斯之角,3750,288,288,,,,,,,,,,,,,,,,,,,[翠绿] 米诺陶诺斯之角,5,100.00%
米诺陶诺斯的斧头,[银白] 米诺陶诺斯的斧头,300,188,188,,,,,,,,,,,,,,,,[银白] 米诺陶诺斯之角,2,35.00%,,,
米诺陶诺斯的斧头,[翠绿] 米诺陶诺斯的斧头,1500,288,288,,,,,,,,,,,,,,,,[翠绿] 米诺陶诺斯之角,2,35.00%,[银白] 米诺陶诺斯的斧头,5,100.00%
米诺陶诺斯的斧头,[湛蓝] 米诺陶诺斯的斧头,7500,388,388,,,,,,,,,,,,,,,,[湛蓝] 米诺陶诺斯之角,2,35.00%,[翠绿] 米诺陶诺斯的斧头,5,100.00%
毒液蜘蛛的毒腺,[银白] 毒液蜘蛛的毒腺,2580,288,288,,,,,,,,,,,,,,,,[银白] 米诺陶诺斯的斧头,2,11.11%,,,
毒液蜘蛛的毒腺,[翠绿] 毒液蜘蛛的毒腺,12900,388,388,,,,,,,,,,,,,,,,[翠绿] 米诺陶诺斯的斧头,2,11.11%,[银白] 毒液蜘蛛的毒腺,5,100.00%
毒液蜘蛛的毒腺,[湛蓝] 毒液蜘蛛的毒腺,64500,488,488,,,,,,,,,,,,,,,,[湛蓝] 米诺陶诺斯的斧头,2,11.11%,[翠绿] 毒液蜘蛛的毒腺,5,100.00%
蜘蛛领主的螯牙,[银白] 蜘蛛领主的螯牙,6270,588,588,,,,,,,,,,,,,,,,[银白] 毒液蜘蛛的毒腺,2,50.00%,,,
蜘蛛领主的螯牙,[翠绿] 蜘蛛领主的螯牙,33600,888,888,,,,,,,,,,,,,,,,[翠绿] 毒液蜘蛛的毒腺,2,50.00%,[银白] 蜘蛛领主的螯牙,5,100.00%
