分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
专家凭证,4-1专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-2专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-3专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-4专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-5专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-6专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-7专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-8专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-9专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-10专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-A专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-S1专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
专家凭证,4-S2专家凭证,400,75,75,,,,,,10,3,,,,,,,,,,,,沙漠奇兵凭证碎片,10,100.00%
