分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
角斗场专家纪念币,[湛蓝] 角斗场专家纪念币,50000,5888,5888,288,288,588,588,200,200,200,200,,,,5,1,,,,,,,,
角斗场专家纪念币,[梦紫] 角斗场专家纪念币,100000,8888,8888,488,488,788,788,200,200,200,200,,1,,5,1,,,,,,,,
角斗场专家纪念币,[赤橙] 角斗场专家纪念币,200000,12888,12888,688,688,1088,1088,300,300,300,300,,1,,10,2,,,,,,,,
角斗场专家纪念币,[血玉] 角斗场专家纪念币,300000,18888,18888,888,888,1588,1588,300,300,300,300,,2,,15,3,,,,,,,,
角斗场专家2纪念币,[湛蓝] 角斗场专家2纪念币,50000,5888,5888,288,288,588,588,200,200,200,200,,,,5,1,,,,,,,,
角斗场专家2纪念币,[梦紫] 角斗场专家2纪念币,100000,8888,8888,488,488,788,788,200,200,200,200,,1,,5,1,,,,,,,,
角斗场专家2纪念币,[赤橙] 角斗场专家2纪念币,200000,12888,12888,688,688,1088,1088,300,300,300,300,,1,,10,2,,,,,,,,
角斗场专家2纪念币,[血玉] 角斗场专家2纪念币,300000,18888,18888,888,888,1588,1588,300,300,300,300,,2,,15,3,,,,,,,,
角斗场专家2纪念币,作废的 [血玉] 专家2纪念币,300000,1,,,,,,,,,,,,,,,,,,,,,,
角斗场专家3纪念币,[湛蓝] 角斗场专家3纪念币,50000,5888,5888,288,288,588,588,200,200,200,200,,,,5,1,,,,,,,,
角斗场专家3纪念币,[梦紫] 角斗场专家3纪念币,100000,8888,8888,488,488,788,788,200,200,200,200,,1,,5,1,,,,,,,,
角斗场专家3纪念币,[赤橙] 角斗场专家3纪念币,200000,12888,12888,688,688,1088,1088,300,300,300,300,,1,,10,2,,,,,,,,
角斗场专家3纪念币,[血玉] 角斗场专家3纪念币,300000,18888,18888,888,888,1588,1588,300,300,300,300,,2,,15,3,,,,,,,,
角斗场专家4纪念币,[湛蓝] 角斗场专家4纪念币,50000,5888,5888,288,288,588,588,200,200,200,200,,,,5,1,,,,,,,,
角斗场专家4纪念币,[梦紫] 角斗场专家4纪念币,100000,8888,8888,488,488,788,788,200,200,200,200,,1,,5,1,,,,,,,,
角斗场专家4纪念币,[赤橙] 角斗场专家4纪念币,200000,12888,12888,688,688,1088,1088,300,300,300,300,,1,,10,2,,,,,,,,
角斗场专家4纪念币,[血玉] 角斗场专家4纪念币,300000,18888,18888,888,888,1588,1588,300,300,300,300,,2,,15,3,,,,,,,,
角斗场专家5纪念币,[湛蓝] 角斗场专家5纪念币,50000,5888,5888,288,288,588,588,200,200,200,200,,,,5,1,,,,,,,,
角斗场专家5纪念币,[梦紫] 角斗场专家5纪念币,100000,8888,8888,488,488,788,788,200,200,200,200,,1,,5,1,,,,,,,,
角斗场专家5纪念币,[赤橙] 角斗场专家5纪念币,200000,12888,12888,688,688,1088,1088,300,300,300,300,,1,,10,2,,,,,,,,
角斗场专家5纪念币,[血玉] 角斗场专家5纪念币,300000,18888,18888,888,888,1588,1588,300,300,300,300,,2,,15,3,,,,,,,,
角斗场专家6纪念币,[湛蓝] 角斗场专家6纪念币,50000,5888,5888,288,288,588,588,200,200,200,200,,,,5,1,,,,,,,,
角斗场专家6纪念币,[梦紫] 角斗场专家6纪念币,100000,8888,8888,488,488,788,788,200,200,200,200,,1,,5,1,,,,,,,,
角斗场专家6纪念币,[赤橙] 角斗场专家6纪念币,200000,12888,12888,688,688,1088,1088,300,300,300,300,,1,,10,2,,,,,,,,
角斗场专家6纪念币,[血玉] 角斗场专家6纪念币,300000,18888,18888,888,888,1588,1588,300,300,300,300,,2,,15,3,,,,,,,,
