分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
普通凭证,玩具世界01普通凭证,1000,466,466,20,20,42,42,,,,,,,,,,,,,,,玩具世界01普通凭证,1,100.00%
普通凭证,玩具世界02普通凭证,1000,466,466,20,20,42,42,,,,,,,,,,,,,,,玩具世界02普通凭证,1,100.00%
普通凭证,玩具世界03普通凭证,1000,466,466,20,20,42,42,,,,,,,,,,,,,,,玩具世界03普通凭证,1,100.00%
普通凭证,玩具世界04普通凭证,1000,466,466,20,20,42,42,,,,,,,,,,,,,,,玩具世界04普通凭证,1,100.00%
普通凭证,玩具世界05普通凭证,1000,466,466,20,20,42,42,,,,,,,,,,,,,,,玩具世界05普通凭证,1,100.00%
普通凭证,玩具世界06普通凭证,1000,466,466,20,20,42,42,,,,,,,,,,,,,,,玩具世界06普通凭证,1,100.00%
普通凭证,玩具世界07普通凭证,1000,466,466,20,20,42,42,,,,,,,,,,,,,,,玩具世界07普通凭证,1,100.00%
猎手凭证,玩具世界01猎手凭证,5000,2066,2066,100,100,208,208,,,,,,,,,,,,,,,玩具世界01普通凭证,60,100.00%
猎手凭证,玩具世界02猎手凭证,5000,2066,2066,100,100,208,208,,,,,,,,,,,,,,,玩具世界02普通凭证,60,100.00%
猎手凭证,玩具世界03猎手凭证,5000,2066,2066,100,100,208,208,,,,,,,,,,,,,,,玩具世界03普通凭证,60,100.00%
猎手凭证,玩具世界04猎手凭证,5000,2066,2066,100,100,208,208,,,,,,,,,,,,,,,玩具世界04普通凭证,60,100.00%
猎手凭证,玩具世界05猎手凭证,5000,2066,2066,100,100,208,208,,,,,,,,,,,,,,,玩具世界05普通凭证,60,100.00%
猎手凭证,玩具世界06猎手凭证,5000,2066,2066,100,100,208,208,,,,,,,,,,,,,,,玩具世界06普通凭证,60,100.00%
猎手凭证,玩具世界07猎手凭证,5000,2066,2066,100,100,208,208,,,,,,,,,,,,,,,玩具世界07普通凭证,60,100.00%
战神凭证,玩具世界01战神凭证,60000,4066,4066,200,200,418,418,86,86,86,86,,,,1.4,,,,,,,玩具世界01普通凭证,270,100.00%
战神凭证,玩具世界02战神凭证,60000,4066,4066,200,200,418,418,86,86,86,86,,,,1.4,,,,,,,玩具世界02普通凭证,270,100.00%
战神凭证,玩具世界03战神凭证,60000,4066,4066,200,200,418,418,86,86,86,86,,,,1.4,,,,,,,玩具世界03普通凭证,270,100.00%
战神凭证,玩具世界04战神凭证,60000,4066,4066,200,200,418,418,86,86,86,86,,,,1.4,,,,,,,玩具世界04普通凭证,270,100.00%
战神凭证,玩具世界05战神凭证,60000,4066,4066,200,200,418,418,86,86,86,86,,,,1.4,,,,,,,玩具世界05普通凭证,270,100.00%
战神凭证,玩具世界06战神凭证,60000,4066,4066,200,200,418,418,86,86,86,86,,,,1.4,,,,,,,玩具世界06普通凭证,270,100.00%
战神凭证,玩具世界07战神凭证,60000,4066,4066,200,200,418,418,86,86,86,86,,,,1.4,,,,,,,玩具世界07普通凭证,270,100.00%
专家凭证,玩具世界01专家凭证,100000,7366,7366,366,366,750,750,178,178,178,178,,,,1.6,,,,,,,玩具世界01普通凭证,540,100.00%
专家凭证,玩具世界02专家凭证,100000,7366,7366,366,366,750,750,178,178,178,178,,,,1.6,,,,,,,玩具世界02普通凭证,540,100.00%
专家凭证,玩具世界03专家凭证,100000,7366,7366,366,366,750,750,178,178,178,178,,,,1.6,,,,,,,玩具世界03普通凭证,540,100.00%
专家凭证,玩具世界04专家凭证,100000,7366,7366,366,366,750,750,178,178,178,178,,,,1.6,,,,,,,玩具世界04普通凭证,540,100.00%
专家凭证,玩具世界05专家凭证,100000,7366,7366,366,366,750,750,178,178,178,178,,,,1.6,,,,,,,玩具世界05普通凭证,540,100.00%
专家凭证,玩具世界06专家凭证,100000,7366,7366,366,366,750,750,178,178,178,178,,,,1.6,,,,,,,玩具世界06普通凭证,540,100.00%
专家凭证,玩具世界07专家凭证,100000,7366,7366,366,366,750,750,178,178,178,178,,,,1.6,,,,,,,玩具世界07普通凭证,540,100.00%
传说凭证,玩具世界01传说凭证,180000,18988,18988,966,966,1988,1988,366,366,366,366,,1,,4,,,,,,,玩具世界01普通凭证,810,100.00%
传说凭证,玩具世界02传说凭证,180000,18988,18988,966,966,1988,1988,366,366,366,366,,1,,4,,,,,,,玩具世界02普通凭证,810,100.00%
传说凭证,玩具世界03传说凭证,180000,18988,18988,966,966,1988,1988,366,366,366,366,,1,,4,,,,,,,玩具世界03普通凭证,810,100.00%
传说凭证,玩具世界04传说凭证,180000,18988,18988,966,966,1988,1988,366,366,366,366,,1,,4,,,,,,,玩具世界04普通凭证,810,100.00%
传说凭证,玩具世界05传说凭证,180000,18988,18988,966,966,1988,1988,366,366,366,366,,1,,4,,,,,,,玩具世界05普通凭证,810,100.00%
传说凭证,玩具世界06传说凭证,180000,18988,18988,966,966,1988,1988,366,366,366,366,,1,,4,,,,,,,玩具世界06普通凭证,810,100.00%
传说凭证,玩具世界07传说凭证,180000,18988,18988,966,966,1988,1988,366,366,366,366,,1,,4,,,,,,,玩具世界07普通凭证,810,100.00%
