分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
I,超越水晶AI型·壹,1000,100,,,,,,,,,,,,,,,,,,,,,,
I,超越水晶AI型·贰,1000,140,,,,,,,,,,,,,,,,,,,,,,
I,超越水晶BI型·壹,1000,100,,,,,,,,,,,,,,,,,,,,,,
I,超越水晶BI型·贰,1000,140,,,,,,,,,,,,,,,,,,,,,,
I,超越水晶AI型·叁,1000,260,,,,,,,,,,,,,,,,,,,,,,
I,超越水晶BI型·叁,1000,260,,,,,,,,,,,,,,,,,,,,,,
II,超越水晶AII型·壹,1000,100,,,,,,,,,,,,,,,,,,,,,,
II,超越水晶AII型·贰,1000,140,,,,,,,,,,,,,,,,,,,,,,
II,超越水晶BII型·壹,1000,100,,,,,,,,,,,,,,,,,,,,,,
II,超越水晶BII型·贰,1000,140,,,,,,,,,,,,,,,,,,,,,,
II,超越水晶AII型·叁,1000,260,,,,,,,,,,,,,,,,,,,,,,
II,超越水晶BII型·叁,1000,260,,,,,,,,,,,,,,,,,,,,,,
III,超越水晶AIII型·壹,1000,100,,,,,,,,,,,,,,,,,,,,,,
III,超越水晶AIII型·贰,1000,140,,,,,,,,,,,,,,,,,,,,,,
III,超越水晶BIII型·壹,1000,100,,,,,,,,,,,,,,,,,,,,,,
III,超越水晶BIII型·贰,1000,140,,,,,,,,,,,,,,,,,,,,,,
III,超越水晶AIII型·叁,1000,260,,,,,,,,,,,,,,,,,,,,,,
III,超越水晶BIII型·叁,1000,260,,,,,,,,,,,,,,,,,,,,,,
IV,超越水晶AIV型·壹,1000,100,,,,,,,,,,,,,,,,,,,,,,
IV,超越水晶AIV型·贰,1000,140,,,,,,,,,,,,,,,,,,,,,,
IV,超越水晶BIV型·壹,1000,100,,,,,,,,,,,,,,,,,,,,,,
IV,超越水晶BIV型·贰,1000,140,,,,,,,,,,,,,,,,,,,,,,
