分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
猪年纪念币,猪年纪念币-一星,10,88,99,,,,,,,,,,,,,,,,,,,,,
猪年纪念币,猪年纪念币-二星,50,122,133,,,,155,,,,,,,,,,,,,,,,,
猪年纪念币,猪年纪念币-三星,2000,233,189,,,255,455,,,,,,,,,,,,,,,,,
猪年纪念币,猪年纪念币-四星,4000,420,408,,,455,766,,,,,,1,,,,,,,,,,,
猪年纪念币,猪年纪念币-五星,4000,450,455,,,455,766,,,,,,1,,,,,,,,,,,
铜质纪念币,铜质纪念币I,10,100,85,,,,,,,,,,,,,,,,,,,,,
铜质纪念币,铜质纪念币II,10,300,,30,25,,,,,,,,,,,,,,,,,,,
铜质纪念币,铜质纪念币III,35,266,123,,,,,,,,,,,,,,,,,,,,,
银质纪念币,银质纪念币I,60,200,200,,,100,66,,,,,,,,,,,,,,,,,
银质纪念币,银质纪念币II,100,,,,60,165,50,,,,,,,,,,,,,,,,,
银质纪念币,银质纪念币III,200,233,322,80,80,,,,,,,,,,,,,,,,,,,
黄金纪念币,黄金纪念币I,400,355,500,,,,,,,,,,,,,,,,,,,,,
黄金纪念币,黄金纪念币II,800,,,,,250,100,,,,,,,,,,,,,,,,,
黄金纪念币,黄金纪念币III,1200,,,,,,,,,,,,1,8.0,8.0,,,,,,,,,
钛金纪念币,钛金纪念币I,2400,,700,,,,355,,,,,,,,20.0,,,,,,,,,
钛金纪念币,钛金纪念币II,5000,,,,,1500,600,,,,,,,,,,,,,,,,,
铜质·牛年纪念币,铜质·牛年纪念币I,10,200,200,,,,,,,,,,,,,,,,,,,,,
铜质·牛年纪念币,铜质·牛年纪念币II,35,,,30,,100,100,,,,,,,,,,,,,,,,,
铜质·牛年纪念币,铜质·牛年纪念币III,60,150,120,,10,,,,,,,,,,5.0,,,,,,,,,
银质·牛年纪念币,银质·牛年纪念币I,100,300,300,,,170,80,,,,,,,,,,,,,,,,,
银质·牛年纪念币,银质·牛年纪念币II,200,55,,,35,,,,,,,,,10.0,10.0,,,,,,,,,
银质·牛年纪念币,银质·牛年纪念币III,400,400,500,,,,,,,50,50,10,,,,,,,,,,,,
黄金·牛年纪念币,黄金·牛年纪念币I,800,500,800,,,,,50,50,,,,,,,,,,,,,,,
黄金·牛年纪念币,黄金·牛年纪念币II,1200,,,,,550,300,,,,,,,15.0,15.0,,,,,,,,,
黄金·牛年纪念币,黄金·牛年纪念币III,2400,,,,,1200,1200,,,,,,,,,,,,,,,,,
水晶·牛年纪念币,水晶·牛年纪念币,5000,,,300,300,,,,,,,,1,,,,,,,,,,,
8周年纪念币,8周年纪念币,10,88,88,,,,,,,,,,,,,,,,,,,,,
铜质·虎年纪念币,铜质·虎年纪念币I,10,200,200,,,,,,,,,,,,,,,,,,,,,
铜质·虎年纪念币,铜质·虎年纪念币II,35,,,30,,100,100,,,,,,,,,,,,,,,,,
铜质·虎年纪念币,铜质·虎年纪念币III,60,150,120,,10,,,,,,,,,,5.0,,,,,,,,,
银质·虎年纪念币,银质·虎年纪念币I,100,300,300,,,170,80,,,,,,,,,,,,,,,,,
银质·虎年纪念币,银质·虎年纪念币II,200,55,,,35,,,,,,,,,10.0,10.0,,,,,,,,,
银质·虎年纪念币,银质·虎年纪念币III,400,400,500,,,,,,,50,50,10,,,,,,,,,,,,
黄金·虎年纪念币,黄金·虎年纪念币I,800,500,800,,,,,50,50,,,,,,,,,,,,,,,
黄金·虎年纪念币,黄金·虎年纪念币II,1200,,,,,550,300,,,,,,,15.0,15.0,,,,,,,,,
黄金·虎年纪念币,黄金·虎年纪念币III,2400,,,,,1200,1200,,,,,,,,,,,,,,,,,
水晶·虎年纪念币,水晶·虎年纪念币,5000,,,300,300,,,,,,,,1,,,,,,,,,,,
"九周年专""鼠""纪念币","九周年专""鼠""纪念币I",10,,,,,,9999,,,,,,,,,,,,,,,,,
"九周年专""鼠""纪念币","九周年专""鼠""纪念币II",10,,,,,,,,,,,,1,,,,,,,,,,,
"九周年专""鼠""纪念币","九周年专""鼠""纪念币III",10,,,,,,,,,,,,,,,1.0,,,,,,,,
铜质·兔年纪念币,铜质·兔年纪念币I,10,2900,2009,,,,,,,,,,,,,,,,,,,,,
铜质·兔年纪念币,铜质·兔年纪念币II,35,,,390,,300,300,,,,,,,,,,,,,,,,,
铜质·兔年纪念币,铜质·兔年纪念币III,60,1500,1200,,100,,,,,,,,,,5.0,,,,,,,,,
银质·兔年纪念币,银质·兔年纪念币I,100,3000,3000,,,600,660,,,,,,,,,,,,,,,,,
银质·兔年纪念币,银质·兔年纪念币II,200,550,,,350,,,,,,,,,10.0,10.0,,,,,,,,,
银质·兔年纪念币,银质·兔年纪念币III,400,4000,5000,,,,,,,300,300,10,,,,,,,,,,,,
黄金·兔年纪念币,黄金·兔年纪念币I,800,5000,8000,,,,,500,500,,,,,,,,,,,,,,,
黄金·兔年纪念币,黄金·兔年纪念币II,1200,,,800,800,1000,1000,,,,,,,,,,,,,,,,,
黄金·兔年纪念币,黄金·兔年纪念币III,2400,,,,,2023,2023,,,,,,1,,,,,,,,,,,
水晶·兔年纪念币,水晶·兔年纪念币,5000,,,,,,,,,,,,,50.0,50.0,,,,,,,,,
龙舟竞渡纪念币,龙舟竞渡纪念币I,1000,500,,,,200,,,,,,,,,,,,,,,,,,
龙舟竞渡纪念币,龙舟竞渡纪念币II,1000,,500,,,,200,,,,,,,,,,,,,,,,,
龙舟竞渡纪念币,龙舟竞渡纪念币III,1000,,,,,,,20,20,,,,,,,,,,,,,,,
龙舟竞渡纪念币,套装属性,,2000,2000,,,300,300,,,20,20,,,,,,,,,,,,,
龙舟竞渡传说纪念币,龙舟竞渡传说纪念币I,3000,1000,500,,,100,100,,,,,,,,,,,,,,,,,
龙舟竞渡传说纪念币,龙舟竞渡传说纪念币II,5000,3000,1000,,,300,300,,,,,,,,,,,,,,,,,
龙舟竞渡传说纪念币,龙舟竞渡传说纪念币III,10000,6000,2000,,,600,600,,,,,,,,,,,,,,,,,
龙舟竞渡传说纪念币,龙舟竞渡传说纪念币IV,30000,,,,,2000,2000,,,,,,1,,,,,,,,,,,
龙舟竞渡传说纪念币,套装属性,,12000,12000,55,55,,,50,50,50,50,,,,,,,,,,,,,
异世之旅纪念币,异世之旅纪念币I,1000,500,,,,200,,,,,,,,,,,,,,,,,,
异世之旅纪念币,异世之旅纪念币II,1000,,500,,,,200,,,,,,,,,,,,,,,,,
异世之旅纪念币,异世之旅纪念币III,1000,,,,,,,20,20,,,,,,,,,,,,,,,
异世之旅纪念币,套装属性,,2000,2000,,,300,300,,,20,20,,,,,,,,,,,,,
异世之旅传说纪念币,异世之旅传说纪念币I,3000,1000,500,,,100,100,,,,,,,,,,,,,,,,,
异世之旅传说纪念币,异世之旅传说纪念币II,5000,3000,1000,,,300,300,,,,,,,,,,,,,,,,,
异世之旅传说纪念币,异世之旅传说纪念币III,10000,6000,2000,,,600,600,,,,,,,,,,,,,,,,,
异世之旅传说纪念币,异世之旅传说纪念币IV,30000,,,,,2000,2000,,,,,,1,,,,,,,,,,,
异世之旅传说纪念币,套装属性,,12000,12000,55,55,,,50,50,50,50,,,,,,,,,,,,,
异变狂潮纪念币,异变狂潮纪念币I,1000,500,,,,200,,,,,,,,,,,,,,,,,,
异变狂潮纪念币,异变狂潮纪念币II,1000,,500,,,,200,,,,,,,,,,,,,,,,,
异变狂潮纪念币,异变狂潮纪念币III,1000,,,,,,,20,20,,,,,,,,,,,,,,,
异变狂潮纪念币,套装属性,,2000,2000,,,300,300,,,20,20,,,,,,,,,,,,,
异变狂潮传说纪念币,异变狂潮传说纪念币I,3000,1000,500,,,100,100,,,,,,,,,,,,,,,,,
异变狂潮传说纪念币,异变狂潮传说纪念币II,5000,3000,1000,,,300,300,,,,,,,,,,,,,,,,,
异变狂潮传说纪念币,异变狂潮传说纪念币III,10000,6000,2000,,,,600,,,,,,,,,,,,,,,,,
异变狂潮传说纪念币,异变狂潮传说纪念币IV,30000,,,,,2000,2000,,,,,,1,,,,,,,,,,,
异变狂潮传说纪念币,套装属性,,12000,12000,55,55,,,50,50,50,50,,,,,,,,,,,,,
英雄对决纪念币,英雄对决纪念币I,1000,600,,,,240,,,,,,,,,,,,,,,,,,
