分类,藏品名称,价格,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度
星际漫游黄金纪念币,星际漫游黄金纪念币I,1,3000,2000,1000,,,300,300,,,,,,,,,,,
星际漫游黄金纪念币,星际漫游黄金纪念币II,5,5000,8000,4000,,,820,820,,,,,,,,,,,
星际漫游黄金纪念币,星际漫游黄金纪念币III,10,10000,13200,4000,,,1320,1320,,,,,,,,,,,
星际漫游黄金纪念币,星际漫游黄金纪念币IV,80,30000,,,,,4000,4000,,,,,,1,,,,,
星际漫游黄金纪念币,套装属性,,0,20000,20000,100,100,,,80,80,80,80,,,,,,,
祭坛纪念币,祭坛纪念币I,1,3000,1760,940,,,200,200,,,,,,,,,,,
祭坛纪念币,祭坛纪念币II,5,5000,6000,2000,,,540,540,,,,,,,,,,,
祭坛纪念币,祭坛纪念币III,10,10000,11000,3300,,,1180,1180,,,,,,,,,,,
祭坛纪念币,祭坛纪念币IV,80,30000,,,,,3520,3520,,,,,,1,,,,,
祭坛纪念币,套装属性,,0,18500,18500,85,85,,,60,60,55,55,,,,,,,
猎杀纪念币,猎杀纪念币I,1,3000,1760,940,,,200,200,,,,,,,,,,,
猎杀纪念币,猎杀纪念币II,5,5000,6000,2000,,,540,540,,,,,,,,,,,
猎杀纪念币,猎杀纪念币III,10,10000,11000,3300,,,1180,1180,,,,,,,,,,,
猎杀纪念币,猎杀纪念币IV,80,30000,,,,,3520,3520,,,,,,1,,,,,
猎杀纪念币,套装属性,,0,18500,18500,85,85,,,60,60,55,55,,,,,,,
端阳纪念币,端阳纪念币I,1,3000,1760,940,,,200,200,,,,,,,,,,,
端阳纪念币,端阳纪念币II,5,5000,6000,2000,,,540,540,,,,,,,,,,,
端阳纪念币,端阳纪念币III,10,10000,11000,3300,,,1180,1180,,,,,,,,,,,
端阳纪念币,端阳纪念币IV,80,30000,,,,,3520,3520,,,,,,1,,,,,
端阳纪念币,套装属性,,0,18500,18500,85,85,,,60,60,55,55,,,,,,,
空天纪念币,空天纪念币I,1,3000,1760,940,,,200,200,,,,,,,,,,,
空天纪念币,空天纪念币II,5,5000,6000,2000,,,540,540,,,,,,,,,,,
空天纪念币,空天纪念币III,10,10000,11000,3300,,,1180,1180,,,,,,,,,,,
空天纪念币,空天纪念币IV,80,30000,,,,,3520,3520,,,,,,1,,,,,
空天纪念币,套装属性,,0,18500,18500,85,85,,,60,60,55,55,,,,,,,
惊蛰纪念币,惊蛰纪念币I,1,3000,1760,940,,,200,200,,,,,,,,,,,
惊蛰纪念币,惊蛰纪念币II,5,5000,6000,2000,,,540,540,,,,,,,,,,,
惊蛰纪念币,惊蛰纪念币III,10,10000,11000,3300,,,1180,1180,,,,,,,,,,,
惊蛰纪念币,惊蛰纪念币IV,80,30000,,,,,3520,3520,,,,,,1,,,,,
惊蛰纪念币,套装属性,,0,18500,18500,85,85,,,60,60,55,55,,,,,,,
启始纪念币,启始纪念币I,1,3000,1760,940,,,200,200,,,,,,,,,,,
启始纪念币,启始纪念币II,5,5000,6000,2000,,,540,540,,,,,,,,,,,
启始纪念币,启始纪念币III,10,10000,11000,3300,,,1180,1180,,,,,,,,,,,
启始纪念币,启始纪念币IV,80,30000,,,,,3520,3520,,,,,,1,,,,,
启始纪念币,套装属性,,0,18500,18500,85,85,,,60,60,55,55,,,,,,,
周年黄金纪念币,周年黄金纪念币I,1,3000,1760,940,,,200,200,,,,,,,,,,,
周年黄金纪念币,周年黄金纪念币II,5,5000,6000,2000,,,540,540,,,,,,,,,,,
周年黄金纪念币,周年黄金纪念币III,10,10000,11000,3300,,,1180,1180,,,,,,,,,,,
周年黄金纪念币,周年黄金纪念币IV,80,30000,,,,,3520,3520,,,,,,1,,,,,
周年黄金纪念币,套装属性,,0,18500,18500,85,85,,,60,60,55,55,,,,,,,
降魔纪念币,降魔纪念币I,1,3000,1600,820,,,180,180,,,,,,,,,,,
降魔纪念币,降魔纪念币II,5,5000,4800,1900,,,480,480,,,,,,,,,,,
降魔纪念币,降魔纪念币III,10,10000,10000,3000,,,960,960,,,,,,,,,,,
降魔纪念币,降魔纪念币IV,80,30000,,,,,3200,3200,,,,,,1,,,,,
降魔纪念币,套装属性,,0,16000,16000,70,70,,,50,50,50,50,,,,,,,
庆典纪念币,庆典纪念币I,1,3000,1600,820,,,180,180,,,,,,,,,,,
庆典纪念币,庆典纪念币II,5,5000,4800,1900,,,480,480,,,,,,,,,,,
庆典纪念币,庆典纪念币III,10,10000,10000,3000,,,960,960,,,,,,,,,,,
庆典纪念币,庆典纪念币IV,80,30000,,,,,3200,3200,,,,,,1,,,,,
庆典纪念币,套装属性,,0,16000,16000,70,70,,,50,50,50,50,,,,,,,
